22  20160512_Bin_24_5 20120503_Bin_39_1 20120510_Bin_24_1 20160419_Bin_7_3 20160502_Bin_39_4 20160426_Bin_40_5 20110526_Bin_66 20110530_Bin_36_1 20160331_Bin_23_3 20120308_Bin_100_1 20110428_Bin_64_1
23  20160512_Bin_21_3
24  20160512_Bin_2_11
25  20160512_Bin_19_2
26  20160512_Bin_19_1
27  20160512_Bin_1_4 20160517_Bin_25_4
28  20160321_Bin_13_2 20110526_Bin_26 20160512_Bin_1_2 20160517_Bin_10_5 20120405_Bin_49_1
29  20160502_Bin_8_4 20160426_Bin_44_1 20160419_Bin_21_1
160  20120416_Bin_85_1
161  20120416_Bin_84_1
162  20120416_Bin_7_6
163  20160502_Bin_35_4 20160331_Bin_7_5 20120405_Bin_43_1 20100420_Bin_6_1 20100413_Bin_4_1 20120412_Bin_61 20110414_Bin_26_1 20100408_Bin_23_1 20110407_Bin_24_1 20110321_Bin_15_1 20110324_Bin_37_1 20120510_Bin_23_1 20110526_Bin_43_1 20110523_Bin_31_1 20110509_Bin_24_1 20100518_Bin_26_2 20110516_Bin_42_1 20110512_Bin_35_1 20110506_Bin_28_1 20110426_Bin_39_1 20120607_Bin_23_1 20160426_Bin_4_1 20120416_Bin_34_1 20120308_Bin_42_1 20160412_Bin_7_3 20100430_Bin_30 20160517_Bin_13_2 20160316_Bin_13_3 20100423_Bin_26 20110328_Bin_22_1 20120426_Bin_14_2 20110331_Bin_12_1 20160512_Bin_38_2 20120503_Bin_7_1 20110404_Bin_24_1 20160419_Bin_6_1 20110530_Bin_50_1 20160321_Bin_10_4 20110519_Bin_32_1 20120524_Bin_36_1 20110421_Bin_41_1 20110428_Bin_36_1 20120531_Bin_40_1 20100511_Bin_66 20100303_Bin_15_1
164  20120416_Bin_11_3 20120405_Bin_18_1 20110526_Bin_2_13
165  20120416_Bin_11_2
166  20120412_Bin_9_1
210  20160426_Bin_14_3 20160419_Bin_65_1 20160512_Bin_15_1 20120531_Bin_84_1 20160412_Bin_23_2 20160321_Bin_32_1 20160502_Bin_9_2 20160517_Bin_28_6 20120607_Bin_84_1 20160316_Bin_38_1 20120524_Bin_81_1 20160331_Bin_20_3 20120308_Bin_30_2
167  20120412_Bin_85 20110516_Bin_11_1 20110331_Bin_32_1 20110509_Bin_31_1 20120503_Bin_3_5 20120510_Bin_65_1 20120524_Bin_4_1 20110523_Bin_69_2 20120531_Bin_27_2 20110421_Bin_36_2 20110426_Bin_69_1 20110404_Bin_66_1 20110324_Bin_90_1 20110506_Bin_34_1 20120416_Bin_67_1 20110512_Bin_43_1 20120426_Bin_44_1 20110530_Bin_52_2 20110519_Bin_66_2 20110526_Bin_105_1 20120607_Bin_47_2 20110428_Bin_30_2 20110414_Bin_40_2 20110407_Bin_59_1 20100408_Bin_20_1
211  20120308_Bin_24_2
212  20120308_Bin_24_1
168  20120412_Bin_75
169  20120412_Bin_71_1
213  20120308_Bin_19
214  20120524_Bin_27_1 20100511_Bin_35 20110526_Bin_30_2 20160316_Bin_24_1 20160331_Bin_23_1 20160426_Bin_48_7 20120308_Bin_18_2 20160512_Bin_29_4 20160419_Bin_19_4 20160412_Bin_17_6 20160502_Bin_14_4 20160321_Bin_21_2 20100408_Bin_57_1
215  20120607_Bin_5_2 20120524_Bin_71_1 20120405_Bin_83_1 20120503_Bin_71_1 20160321_Bin_5_3_2 20120308_Bin_16_1 20120426_Bin_57_1 20120531_Bin_12_1 20120510_Bin_54_1 20160316_Bin_6_1 20120416_Bin_47_1
216  20120308_Bin_133
217  20120308_Bin_132_1
218  20110530_Bin_58
219  20110530_Bin_56
30  20160512_Bin_35_4 20160502_Bin_75_2 20160517_Bin_56_3 20100518_Bin_38 20100504_Bin_78
31  20160502_Bin_72_1 20160321_Bin_51_4
